Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibr, 15, 510.270629882812500000, 217.349060058593750000, 0.000793457031250000, 83.253967285156250000, 34131, 30.8, 1824
C, fibr, 15, 509.146606445312500000, 216.837707519531250000, 0.000793457031250000, 83.078186035156250000, 34056, 31.8, 1652
C, fibr, 15, 508.982055664062500000, 217.466979980468750000, 0.000793457031250000, 83.068664550781250000, 34046, 32.5, 1756
C, fibr, 15, 514.135375976562500000, 217.500793457031250000, 0.000000000000000000, 83.884399414062500000, 34391, 32.0, 1656
C, fibr, 15, 515.953491210937500000, 217.071838378906250000, 0.000915527343750000, 84.187072753906250000, 34513, 32.5, 1824
C, fibr, 15, 509.798889160156250000, 216.979614257812500000, 0.000854492187500000, 83.166870117187500000, 34101, 33.0, 1756
C, fibr, 15, 517.090454101562500000, 218.569824218750000000, 0.000793457031250000, 84.421508789062500000, 34589, 33.2, 1780
C, fibr, 15, 513.888244628906250000, 217.708557128906250000, 0.000854492187500000, 83.864257812500000000, 34374, 33.0, 1760
C, fibr, 15, 514.937255859375000000, 217.609313964843750000, 0.000000000000000000, 84.031799316406250000, 34444, 33.5, 1800
C, fibr, 15, 517.860473632812500000, 217.306640625000000000, 0.000854492187500000, 84.498779296875000000, 34640, 32.8, 1724
