Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibi, 15, 0.065734863281250000, 0.041198730468750000, 0.000000000000000000, 0.007812500000000000, 2, 27.2, 1628
C, fibi, 15, 0.067504882812500000, 0.042602539062500000, 0.000000000000000000, 0.007751464843750000, 3, 27.2, 1592
C, fibi, 15, 0.059631347656250000, 0.028991699218750000, 0.000000000000000000, 0.010314941406250000, 3, 27.2, 1652
C, fibi, 15, 0.048767089843750000, 0.025695800781250000, 0.000000000000000000, 0.007812500000000000, 3, 27.2, 1740
C, fibi, 15, 0.130371093750000000, 0.058593750000000000, 0.000000000000000000, 0.023864746093750000, 8, 27.2, 1636
C, fibi, 15, 0.068786621093750000, 0.036193847656250000, 0.000000000000000000, 0.010925292968750000, 4, 27.2, 1684
C, fibi, 15, 0.058532714843750000, 0.027221679687500000, 0.000000000000000000, 0.010681152343750000, 3, 27.2, 1656
C, fibi, 15, 0.062561035156250000, 0.031982421875000000, 0.000000000000000000, 0.007934570312500000, 3, 27.2, 1660
C, fibi, 15, 0.047058105468750000, 0.024230957031250000, 0.000000000000000000, 0.007690429687500000, 3, 27.2, 1592
C, fibi, 15, 0.049499511718750000, 0.026367187500000000, 0.000000000000000000, 0.007751464843750000, 3, 27.2, 1660
