Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibr, 15, 197.892517089843750000, 84.532531738281250000, 0.000000000000000000, 32.396240234375000000, 13236, 29.2, 1828
C, fibr, 15, 193.598022460937500000, 83.034362792968750000, 0.000732421875000000, 31.604797363281250000, 12950, 31.0, 1756
C, fibr, 15, 194.890930175781250000, 83.369750976562500000, 0.000000000000000000, 31.830871582031250000, 13037, 31.0, 1828
C, fibr, 15, 194.843383789062500000, 82.800598144531250000, 0.000000000000000000, 31.802673339843750000, 13033, 30.8, 1784
C, fibr, 15, 195.520629882812500000, 83.172668457031250000, 0.000793457031250000, 31.934997558593750000, 13078, 31.2, 1652
C, fibr, 15, 196.284179687500000000, 83.088439941406250000, 0.000000000000000000, 32.046997070312500000, 13130, 31.5, 1708
C, fibr, 15, 196.550659179687500000, 82.858215332031250000, 0.000000000000000000, 32.072204589843750000, 13148, 31.2, 1800
C, fibr, 15, 195.878906250000000000, 83.049743652343750000, 0.000000000000000000, 31.973999023437500000, 13102, 31.2, 1788
C, fibr, 15, 195.180053710937500000, 83.019348144531250000, 0.000793457031250000, 31.861694335937500000, 13055, 32.5, 1792
C, fibr, 15, 195.369140625000000000, 82.997985839843750000, 0.000000000000000000, 31.909179687500000000, 13068, 31.2, 1728
