Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibr, -1, 318.818237304687500000, 37.278991699218750000, 0.000488281250000000, 105.532653808593750000, 43283, 28.2, 1804
C, fibr, -1, 324.133056640625000000, 39.526916503906250000, 0.000549316406250000, 105.534423828125000000, 43207, 28.0, 1796
C, fibr, -1, 322.468811035156250000, 39.852050781250000000, 0.000488281250000000, 105.643737792968750000, 43235, 28.0, 1808
C, fibr, -1, 324.963745117187500000, 39.692626953125000000, 0.000488281250000000, 106.340026855468750000, 43533, 28.0, 1808
C, fibr, -1, 316.345336914062500000, 36.808959960937500000, 0.000488281250000000, 105.339904785156250000, 43208, 27.8, 1796
C, fibr, -1, 317.356994628906250000, 38.792053222656250000, 0.000549316406250000, 105.637512207031250000, 43240, 28.2, 1748
C, fibr, -1, 313.837524414062500000, 38.234619140625000000, 0.000488281250000000, 105.612854003906250000, 43231, 27.2, 1800
C, fibr, -1, 313.138305664062500000, 36.268249511718750000, 0.000488281250000000, 105.390380859375000000, 43230, 27.2, 1668
C, fibr, -1, 321.145568847656250000, 39.594726562500000000, 0.000549316406250000, 105.632263183593750000, 43236, 28.2, 1708
C, fibr, -1, 318.035766601562500000, 39.069702148437500000, 0.000549316406250000, 105.637329101562500000, 43237, 28.5, 1808
