Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibi, 15, 0.044677734375000000, 0.029052734375000000, 0.000000000000000000, 0.007751464843750000, 2, 28.5, 1584
C, fibi, 15, 0.054382324218750000, 0.028991699218750000, 0.000000000000000000, 0.007629394531250000, 2, 28.5, 1636
C, fibi, 15, 0.051086425781250000, 0.027343750000000000, 0.000000000000000000, 0.007690429687500000, 3, 28.5, 1580
C, fibi, 15, 0.050048828125000000, 0.026733398437500000, 0.000000000000000000, 0.007751464843750000, 3, 28.5, 1688
C, fibi, 15, 0.075561523437500000, 0.044189453125000000, 0.000000000000000000, 0.011291503906250000, 3, 28.5, 1676
C, fibi, 15, 0.066467285156250000, 0.034912109375000000, 0.000000000000000000, 0.010742187500000000, 4, 28.5, 1740
C, fibi, 15, 0.064331054687500000, 0.031738281250000000, 0.000000000000000000, 0.010803222656250000, 3, 28.5, 1604
C, fibi, 15, 0.069519042968750000, 0.029418945312500000, 0.000000000000000000, 0.013061523437500000, 4, 28.5, 1676
C, fibi, 15, 0.063720703125000000, 0.032531738281250000, 0.000000000000000000, 0.010375976562500000, 3, 28.5, 1580
C, fibi, 15, 0.050231933593750000, 0.026367187500000000, 0.000000000000000000, 0.007812500000000000, 2, 28.5, 1672
