Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibr, 15, 309.418334960937500000, 129.117614746093750000, 0.000793457031250000, 50.479431152343750000, 20695, 29.5, 1800
C, fibr, 15, 310.690307617187500000, 129.751403808593750000, 0.000000000000000000, 50.732971191406250000, 20784, 30.5, 1660
C, fibr, 15, 310.066833496093750000, 129.444885253906250000, 0.000793457031250000, 50.597656250000000000, 20742, 31.2, 1692
C, fibr, 15, 311.187683105468750000, 129.947387695312500000, 0.000000000000000000, 50.808349609375000000, 20817, 31.2, 1684
C, fibr, 15, 310.612365722656250000, 129.566467285156250000, 0.000793457031250000, 50.709167480468750000, 20777, 32.0, 1740
C, fibr, 15, 310.856262207031250000, 129.615966796875000000, 0.000000000000000000, 50.738830566406250000, 20793, 31.8, 1644
C, fibr, 15, 311.673095703125000000, 129.644409179687500000, 0.000793457031250000, 50.872070312500000000, 20848, 31.8, 1684
C, fibr, 15, 310.327331542968750000, 129.288696289062500000, 0.000000000000000000, 50.652832031250000000, 20758, 32.8, 1736
C, fibr, 15, 311.365722656250000000, 129.157348632812500000, 0.000793457031250000, 50.808227539062500000, 20827, 31.8, 1812
C, fibr, 15, 313.043823242187500000, 129.517517089843750000, 0.000000000000000000, 51.094482421875000000, 20939, 32.5, 1684
