Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibi, -1, 0.119018554687500000, 0.033020019531250000, 0.000000000000000000, 0.030456542968750000, 11, 27.8, 1576
C, fibi, -1, 0.078430175781250000, 0.017211914062500000, 0.000000000000000000, 0.022766113281250000, 8, 27.8, 1572
C, fibi, -1, 0.079772949218750000, 0.017822265625000000, 0.000000000000000000, 0.022888183593750000, 8, 27.8, 1660
C, fibi, -1, 0.078247070312500000, 0.017883300781250000, 0.000000000000000000, 0.020385742187500000, 8, 27.8, 1556
C, fibi, -1, 0.077880859375000000, 0.016906738281250000, 0.000000000000000000, 0.022521972656250000, 8, 27.8, 1572
C, fibi, -1, 0.078308105468750000, 0.017150878906250000, 0.000000000000000000, 0.022705078125000000, 8, 27.8, 1596
C, fibi, -1, 0.078735351562500000, 0.017272949218750000, 0.000000000000000000, 0.022705078125000000, 8, 27.8, 1572
C, fibi, -1, 0.078491210937500000, 0.017578125000000000, 0.000000000000000000, 0.020141601562500000, 8, 27.8, 1568
C, fibi, -1, 0.067810058593750000, 0.014831542968750000, 0.000000000000000000, 0.020080566406250000, 8, 27.8, 1620
C, fibi, -1, 0.078186035156250000, 0.018005371093750000, 0.000000000000000000, 0.022766113281250000, 8, 27.8, 1528
