Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibr, -1, 1580.171997070312500000, 517.040954589843750000, 0.002624511718750000, 357.630615234375000000, 145758, 31.0, 1652
C, fibr, -1, 1592.866638183593750000, 521.450378417968750000, 0.002014160156250000, 356.578430175781250000, 145901, 31.0, 1792
C, fibr, -1, 1300.150390625000000000, 426.711791992187500000, 0.001953125000000000, 289.033752441406250000, 118128, 31.0, 1808
C, fibr, -1, 1297.519348144531250000, 425.808776855468750000, 0.002014160156250000, 290.278991699218750000, 118693, 31.5, 1724
C, fibr, -1, 1229.411193847656250000, 379.219238281250000000, 0.001220703125000000, 284.994934082031250000, 116589, 30.5, 1780
C, fibr, -1, 1210.826232910156250000, 344.419738769531250000, 0.001892089843750000, 293.419128417968750000, 119516, 30.2, 1752
C, fibr, -1, 1365.722900390625000000, 445.315673828125000000, 0.001892089843750000, 308.985290527343750000, 125785, 30.5, 1808
C, fibr, -1, 1420.631042480468750000, 465.752319335937500000, 0.001953125000000000, 317.485473632812500000, 129866, 30.8, 1756
C, fibr, -1, 1516.393493652343750000, 496.733947753906250000, 0.001892089843750000, 340.861572265625000000, 139379, 31.0, 1756
C, fibr, -1, 1287.325012207031250000, 422.345703125000000000, 0.001892089843750000, 287.654907226562500000, 117754, 31.2, 1828
