Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibi, 15, 0.065307617187500000, 0.041015625000000000, 0.000000000000000000, 0.007812500000000000, 2, 28.0, 1516
C, fibi, 15, 0.055480957031250000, 0.030761718750000000, 0.000000000000000000, 0.007629394531250000, 2, 28.0, 1520
C, fibi, 15, 0.048889160156250000, 0.025878906250000000, 0.000000000000000000, 0.007812500000000000, 3, 28.0, 1568
C, fibi, 15, 0.049011230468750000, 0.025268554687500000, 0.000000000000000000, 0.007690429687500000, 3, 28.0, 1596
C, fibi, 15, 0.049133300781250000, 0.025634765625000000, 0.000000000000000000, 0.007751464843750000, 3, 28.0, 1604
C, fibi, 15, 0.048461914062500000, 0.025695800781250000, 0.000000000000000000, 0.007690429687500000, 3, 28.0, 1568
C, fibi, 15, 0.056518554687500000, 0.034179687500000000, 0.000000000000000000, 0.008422851562500000, 3, 28.0, 1560
C, fibi, 15, 0.065612792968750000, 0.033325195312500000, 0.000000000000000000, 0.010986328125000000, 3, 28.0, 1676
C, fibi, 15, 0.063659667968750000, 0.032043457031250000, 0.000000000000000000, 0.010742187500000000, 3, 28.0, 1680
C, fibi, 15, 0.059143066406250000, 0.025878906250000000, 0.000000000000000000, 0.010559082031250000, 3, 28.0, 1572
