Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory, Implementation
C, fibr,-1,123.117431640625,16.61663818359375,0.00048828125,40.21081542968751,16398,27.8,1828,Recursive -O2
C, fibr,-1,121.0811767578125,14.29144287109375,0.0,39.91949462890625,16369,27.2,1672,Recursive -O2
C, fibr,-1,121.63690185546876,14.38909912109375,0.0,40.00134277343751,16405,27.5,1808,Recursive -O2
C, fibr,-1,121.5079345703125,14.354736328125,0.00048828125,39.967529296875,16391,27.8,1828,Recursive -O2
C, fibr,-1,124.17364501953124,16.7734375,0.0,40.21588134765625,16396,27.0,1796,Recursive -O2
C, fibr,-1,121.35174560546876,14.44281005859375,0.0,39.936767578125,16377,27.8,1780,Recursive -O2
C, fibr,-1,121.7147216796875,14.47601318359375,0.00048828125,39.97796630859375,16393,27.0,1780,Recursive -O2
C, fibr,-1,121.1097412109375,14.3790283203125,0.0,39.96209716796875,16388,27.5,1748,Recursive -O2
C, fibr,-1,123.8511962890625,16.5843505859375,0.00048828125,40.19854736328125,16393,27.8,1748,Recursive -O2
C, fibr,-1,121.3067626953125,14.24627685546875,0.0,39.94677734375,16383,28.0,1752,Recursive -O2
C, fibr,-1,500.57952880859375,58.62066650390625,0.0009765625,171.02874755859375,70050,27.8,1764,Recursive -O0
C, fibr,-1,504.3670043945313,57.67047119140625,0.0009765625,170.97906494140625,70049,26.8,1728,Recursive -O0
C, fibr,-1,493.2769165039063,56.28454589843751,0.00042724609375,170.97564697265625,70049,27.5,1688,Recursive -O0
C, fibr,-1,496.8889770507813,56.73986816406249,0.0009765625,171.04461669921875,70069,27.2,1764,Recursive -O0
C, fibr,-1,496.970703125,56.43011474609375,0.00042724609375,170.99884033203125,70062,27.8,1588,Recursive -O0
C, fibr,-1,504.8729248046875,57.36883544921875,0.00091552734375,170.98193359375,70051,28.0,1768,Recursive -O0
C, fibr,-1,498.13134765625,57.044677734375,0.0009765625,171.0164794921875,70064,26.8,1716,Recursive -O0
C, fibr,-1,507.57055664062494,59.77252197265625,0.00048828125,171.19708251953125,70055,28.0,1764,Recursive -O0
C, fibr,-1,503.091796875,57.14221191406249,0.0009765625,171.03704833984375,70063,28.0,1800,Recursive -O0
C, fibr,-1,503.77581787109375,57.32403564453125,0.00091552734375,170.96966552734375,70051,27.5,1692,Recursive -O0
C, fibi,-1,0.0760498046875,0.015625,0.0,0.02264404296875,8,27.0,1752,Iterative -O2
C, fibi,-1,0.078125,0.01702880859375,0.0,0.0225830078125,8,27.0,1816,Iterative -O2
C, fibi,-1,0.0726318359375,0.016845703125,0.0,0.0203857421875,8,27.0,1796,Iterative -O2
C, fibi,-1,0.093505859375,0.0205078125,0.0,0.02362060546875,8,27.0,1788,Iterative -O2
C, fibi,-1,0.076416015625,0.015869140625,0.0,0.02252197265625,8,27.0,1780,Iterative -O2
C, fibi,-1,0.076904296875,0.0162353515625,0.0,0.02239990234375,8,27.0,1788,Iterative -O2
C, fibi,-1,0.07733154296875,0.01611328125,0.0,0.0225830078125,8,27.0,1828,Iterative -O2
C, fibi,-1,0.076416015625,0.016357421875,0.0,0.0224609375,8,27.0,1708,Iterative -O2
C, fibi,-1,0.076904296875,0.01641845703125,0.0,0.02252197265625,8,27.0,1800,Iterative -O2
C, fibi,-1,0.07666015625,0.01611328125,0.0,0.0224609375,8,27.0,1668,Iterative -O2
C, fibi,-1,0.07708740234375,0.0164794921875,0.0,0.02288818359375,8,26.2,1764,Iterative -O0
C, fibi,-1,0.07513427734375,0.0155029296875,0.0,0.02252197265625,8,26.2,1712,Iterative -O0
C, fibi,-1,0.07696533203125,0.01678466796875,0.0,0.022705078125,8,26.2,1740,Iterative -O0
C, fibi,-1,0.06787109375,0.0146484375,0.0,0.02008056640625,8,26.2,1692,Iterative -O0
C, fibi,-1,0.06756591796875,0.01458740234375,0.0,0.02008056640625,8,26.2,1684,Iterative -O0
C, fibi,-1,0.0762939453125,0.0166015625,0.0,0.022705078125,8,26.2,1672,Iterative -O0
C, fibi,-1,0.07659912109375,0.01641845703125,0.0,0.0225830078125,8,26.2,1804,Iterative -O0
C, fibi,-1,0.07763671875,0.01666259765625,0.0,0.02264404296875,8,26.2,1816,Iterative -O0
C, fibi,-1,0.07550048828125,0.01629638671875,0.0,0.0225830078125,8,26.2,1684,Iterative -O0
C, fibi,-1,0.07659912109375,0.01708984375,0.0,0.02276611328125,8,26.2,1588,Iterative -O0
