Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory, Implementation
C, fibr,15,510.2706298828125,217.34906005859372,0.00079345703125,83.25396728515625,34131,30.8,1824,Recursive -O2
C, fibr,15,509.1466064453125,216.83770751953125,0.00079345703125,83.07818603515625,34056,31.8,1652,Recursive -O2
C, fibr,15,508.9820556640625,217.46697998046875,0.00079345703125,83.06866455078125,34046,32.5,1756,Recursive -O2
C, fibr,15,514.1353759765625,217.50079345703125,0.0,83.8843994140625,34391,32.0,1656,Recursive -O2
C, fibr,15,515.9534912109375,217.07183837890625,0.00091552734375,84.18707275390625,34513,32.5,1824,Recursive -O2
C, fibr,15,509.79888916015625,216.97961425781247,0.0008544921875,83.1668701171875,34101,33.0,1756,Recursive -O2
C, fibr,15,517.0904541015625,218.56982421875,0.00079345703125,84.4215087890625,34589,33.2,1780,Recursive -O2
C, fibr,15,513.8882446289064,217.70855712890625,0.0008544921875,83.8642578125,34374,33.0,1760,Recursive -O2
C, fibr,15,514.937255859375,217.60931396484372,0.0,84.03179931640625,34444,33.5,1800,Recursive -O2
C, fibr,15,517.8604736328125,217.306640625,0.0008544921875,84.49877929687501,34640,32.8,1724,Recursive -O2
C, fibr,15,2134.37646484375,884.1022338867188,0.0025634765625,348.259765625,142769,33.5,1764,Recursive -O0
C, fibr,15,2139.1834106445312,882.0398559570312,0.00262451171875,348.98809814453125,143091,32.8,1696,Recursive -O0
C, fibr,15,2139.107177734375,881.6577148437501,0.00341796875,348.9576416015625,143087,33.2,1768,Recursive -O0
C, fibr,15,2145.8764038085938,883.2095947265626,0.0025634765625,350.11993408203125,143541,33.0,1804,Recursive -O0
C, fibr,15,2142.759521484375,881.8959960937501,0.00262451171875,349.53759765625,143331,33.5,1648,Recursive -O0
C, fibr,15,2139.0885620117188,883.227294921875,0.0035400390625,349.01727294921875,143087,33.2,1668,Recursive -O0
C, fibr,15,2137.453186035156,881.5321044921875,0.0025634765625,348.71026611328125,142978,32.5,1672,Recursive -O0
C, fibr,15,2135.715148925781,881.0003051757811,0.00262451171875,348.48297119140625,142885,32.8,1764,Recursive -O0
C, fibr,15,2138.8905029296875,883.4674682617188,0.00347900390625,349.14666748046875,143108,33.0,1768,Recursive -O0
C, fibr,15,2132.836853027344,883.9885864257811,0.00262451171875,348.164794921875,142717,33.5,1668,Recursive -O0
C, fibi,15,0.06573486328125,0.04119873046875,0.0,0.0078125,2,27.2,1628,Iterative -O2
C, fibi,15,0.0675048828125,0.0426025390625,0.0,0.00775146484375,3,27.2,1592,Iterative -O2
C, fibi,15,0.05963134765625,0.02899169921875,0.0,0.01031494140625,3,27.2,1652,Iterative -O2
C, fibi,15,0.04876708984375,0.02569580078125,0.0,0.0078125,3,27.2,1740,Iterative -O2
C, fibi,15,0.13037109375,0.05859375,0.0,0.02386474609375,8,27.2,1636,Iterative -O2
C, fibi,15,0.06878662109375,0.03619384765625,0.0,0.01092529296875,4,27.2,1684,Iterative -O2
C, fibi,15,0.05853271484375,0.0272216796875,0.0,0.01068115234375,3,27.2,1656,Iterative -O2
C, fibi,15,0.06256103515625,0.031982421875,0.0,0.0079345703125,3,27.2,1660,Iterative -O2
C, fibi,15,0.04705810546875,0.02423095703125,0.0,0.0076904296875,3,27.2,1592,Iterative -O2
C, fibi,15,0.04949951171875,0.0263671875,0.0,0.00775146484375,3,27.2,1660,Iterative -O2
C, fibi,15,0.0478515625,0.03155517578125,0.0,0.0052490234375,2,27.8,1524,Iterative -O0
C, fibi,15,0.0550537109375,0.03021240234375,0.0,0.0076904296875,2,27.8,1672,Iterative -O0
C, fibi,15,0.047607421875,0.02508544921875,0.0,0.00762939453125,2,27.8,1564,Iterative -O0
C, fibi,15,0.04833984375,0.02557373046875,0.0,0.0076904296875,2,27.8,1524,Iterative -O0
C, fibi,15,0.03369140625,0.02886962890625,0.0,0.0079345703125,2,27.8,1572,Iterative -O0
C, fibi,15,0.04998779296875,0.02685546875,0.0,0.0078125,3,27.8,1672,Iterative -O0
C, fibi,15,0.072998046875,0.04083251953125,0.0,0.01104736328125,3,27.8,1672,Iterative -O0
C, fibi,15,0.0662841796875,0.034423828125,0.0,0.01123046875,4,27.8,1604,Iterative -O0
C, fibi,15,0.0650634765625,0.0338134765625,0.0,0.01068115234375,4,27.8,1568,Iterative -O0
C, fibi,15,0.0460205078125,0.0225830078125,0.0,0.00799560546875,3,27.8,1604,Iterative -O0
