Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibr, -1, 500.579528808593750000, 58.620666503906250000, 0.000976562500000000, 171.028747558593750000, 70050, 27.8, 1764
C, fibr, -1, 504.367004394531250000, 57.670471191406250000, 0.000976562500000000, 170.979064941406250000, 70049, 26.8, 1728
C, fibr, -1, 493.276916503906250000, 56.284545898437500000, 0.000427246093750000, 170.975646972656250000, 70049, 27.5, 1688
C, fibr, -1, 496.888977050781250000, 56.739868164062500000, 0.000976562500000000, 171.044616699218750000, 70069, 27.2, 1764
C, fibr, -1, 496.970703125000000000, 56.430114746093750000, 0.000427246093750000, 170.998840332031250000, 70062, 27.8, 1588
C, fibr, -1, 504.872924804687500000, 57.368835449218750000, 0.000915527343750000, 170.981933593750000000, 70051, 28.0, 1768
C, fibr, -1, 498.131347656250000000, 57.044677734375000000, 0.000976562500000000, 171.016479492187500000, 70064, 26.8, 1716
C, fibr, -1, 507.570556640625000000, 59.772521972656250000, 0.000488281250000000, 171.197082519531250000, 70055, 28.0, 1764
C, fibr, -1, 503.091796875000000000, 57.142211914062500000, 0.000976562500000000, 171.037048339843750000, 70063, 28.0, 1800
C, fibr, -1, 503.775817871093750000, 57.324035644531250000, 0.000915527343750000, 170.969665527343750000, 70051, 27.5, 1692
