Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibi, 15, 0.067626953125000000, 0.042846679687500000, 0.000000000000000000, 0.007751464843750000, 2, 26.8, 1528
C, fibi, 15, 0.056945800781250000, 0.031066894531250000, 0.000000000000000000, 0.007690429687500000, 2, 26.8, 1576
C, fibi, 15, 0.065124511718750000, 0.033386230468750000, 0.000000000000000000, 0.010253906250000000, 3, 26.8, 1660
C, fibi, 15, 0.050231933593750000, 0.027038574218750000, 0.000000000000000000, 0.007751464843750000, 3, 26.8, 1604
C, fibi, 15, 0.050720214843750000, 0.026855468750000000, 0.000000000000000000, 0.007812500000000000, 3, 26.8, 1596
C, fibi, 15, 0.090270996093750000, 0.050292968750000000, 0.000000000000000000, 0.014160156250000000, 4, 26.8, 1528
C, fibi, 15, 0.065856933593750000, 0.033813476562500000, 0.000000000000000000, 0.011230468750000000, 4, 26.8, 1652
C, fibi, 15, 0.065063476562500000, 0.033203125000000000, 0.000000000000000000, 0.010742187500000000, 3, 26.8, 1596
C, fibi, 15, 0.045654296875000000, 0.023010253906250000, 0.000000000000000000, 0.007934570312500000, 3, 26.8, 1520
C, fibi, 15, 0.049560546875000000, 0.026062011718750000, 0.000000000000000000, 0.007812500000000000, 3, 26.8, 1560
